query,gold_doc_id,gold_page,gold_chunk_ids
What was Algeria's real GDP growth rate in 2022 according to IMF staff estimates?,IMF 2023.pdf,3,
كم بلغ معدل التضخم في الجزائر خلال عام 2022؟,IMF 2023.pdf,3,
What is the IMF's projection for Algeria's current account balance in 2024?,IMF 2024.pdf,11,
What was the Bank of Algeria's policy rate as of the 2022 Article IV consultation?,IMF 2023.pdf,14,
How did Algeria's non-hydrocarbon GDP perform in 2022?,IMF 2023.pdf,3,
What are the key downside risks to Algeria's economic outlook according to the 2023 Article IV consultation?,IMF 2024.pdf,12,
ما هي توقعات صندوق النقد الدولي لنمو الناتج المحلي الإجمالي للجزائر في عام 2024؟,IMF 2024.pdf,5,
What level of gross official reserves did Algeria hold at the end of 2023?,IMF 2024.pdf,4,
What fiscal policy does the IMF recommend for Algeria to enhance resilience?,IMF 2023.pdf,18,
How did the IMF assess Algeria's external position in 2022?,IMF 2023.pdf,38,
What is the IMF's projection for Algeria's consumer price index (CPI) inflation in 2025?,IMF 2024.pdf,13,
What recommendation did the IMF make regarding monetary financing in Algeria's new central bank law?,IMF 2023.pdf,21,
ما هو مسار الدين العام المتوقع للجزائر حتى عام 2027 وفقا لتقرير صندوق النقد الدولي؟,IMF 2023.pdf,45,
What was the overall fiscal balance for Algeria in 2022?,IMF 2023.pdf,17,
What recommendation did the IMF make regarding the reform of energy subsidies in Algeria?,IMF 2024.pdf,18,
What is the IMF's assessment of the sovereign-bank nexus risk in Algeria?,IMF 2023.pdf,22,
How did the IMF describe Algeria's monetary policy stance in the 2022 report?,IMF 2023.pdf,4,
ما هو التضخم الأساسي المتوقع في الجزائر لعام 2024؟,IMF 2024.pdf,11,
What is the IMF's medium-term growth projection for Algeria's non-hydrocarbon sector by 2027?,IMF 2024.pdf,11,
What does the IMF recommend for strengthening the monetary policy framework in Algeria?,IMF 2023.pdf,58,
How did the Bank of Algeria's exchange rate policy affect the real effective exchange rate in 2022?,IMF 2023.pdf,13,
What is the IMF's outlook for global growth in 2024 according to the October 2024 WEO?,WEO 2024.pdf,16,
What is the projected global headline inflation rate for 2025 according to the October 2024 WEO?,WEO 2024.pdf,16,
ما هو معدل النمو الاقتصادي المتوقع لمنطقة الشرق الأوسط وشمال أفريقيا في عام 2024 وفقا لتقرير الآفاق الاقتصادية العالمية؟,WEO 2024.pdf,36,
What commodity price assumptions underlie the October 2024 WEO baseline projections?,WEO 2024.pdf,8,
